"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"03/26/2022","AQS","060370002","1","0.5","ppm","6","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/27/2022","AQS","060370002","1","0.3","ppm","3","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/28/2022","AQS","060370002","1","0.2","ppm","2","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/29/2022","AQS","060370002","1","0.3","ppm","3","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/30/2022","AQS","060370002","1","0.3","ppm","3","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/31/2022","AQS","060370002","1","0.4","ppm","5","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"04/01/2022","AQS","060370002","1","0.4","ppm","5","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"04/02/2022","AQS","060370002","1","0.4","ppm","5","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"04/03/2022","AQS","060370002","1","0.3","ppm","3","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"04/04/2022","AQS","060370002","1","0.4","ppm","5","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"04/05/2022","AQS","060370002","1","0.6","ppm","7","Azusa","13","54.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"04/06/2022","AQS","060370002","1","0.4","ppm","5","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"04/07/2022","AQS","060370002","1","0.4","ppm","5","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
